	PC1	PC2	cell_type	AC
SRR5756938	8.89417537901485	9.184312929326438	E7.25	0
SRR5756939	5.10454190123598	11.7638396531082	E7.25	0
SRR5756940	-15.730273879782901	10.7722142632282	E7.25	0
SRR5756941	9.955309519588619	1.8393079283478897	E7.25	0
SRR5756942	7.05608965600487	0.949718822367935	E7.25	0
SRR5756943	9.64043992941931	-3.15709206923258	E7.25	0
SRR5756944	12.401207595905001	15.2708890160109	E7.25	0
SRR5756945	3.63841128556318	0.939759327370546	E7.25	0
SRR5756946	-2.46571463045138	18.8188240139348	E7.25	0
SRR5756947	7.137937457704001	-8.97717120753332	E7.25	1
SRR5756948	8.15204482576594	-1.1161504200776202	E7.25	0
SRR5756949	9.85891105148585	-14.3376034207277	E7.25	1
SRR5756950	15.729538444100196	12.3544144935294	E7.25	0
SRR5756951	9.362513218579698	4.41449038102809	E7.25	0
SRR5756952	-20.1681065985675	21.1034524330678	E7.25	2
SRR5756953	3.2758680323281	7.91469296985189	E7.25	0
SRR5756954	-0.6252827938009449	9.89098728160547	E7.25	0
SRR5756955	25.5711587631373	7.685158141913379	E7.25	0
SRR5756956	43.428035742970295	5.52718143173602	E7.25	0
SRR5756957	20.4322446410309	19.213264160668302	E7.25	0
SRR5756958	-13.9724814324017	33.1991803396173	E7.25	2
SRR5756959	-5.17150234772174	11.3293129178089	E7.25	0
SRR5756960	-23.5213509130235	21.4107531468551	E7.25	2
SRR5756961	10.994618451241903	13.9266716466586	E7.25	0
SRR5756962	14.695532606176801	1.56232180974324	E7.25	0
SRR5756963	25.923159817227106	14.559071955103299	E7.25	0
SRR5756964	23.534609186514203	9.27287569773003	E7.25	0
SRR5756965	34.843114485542806	4.59410200563854	E7.25	0
SRR5756966	-15.765441657699098	26.0175343511641	E7.25	2
SRR5756967	16.4610326329691	2.14507485128007	E7.25	0
SRR5756968	12.506306693776601	3.29608598722507	E7.25	0
SRR5756969	24.050922071479807	13.339827840207803	E7.25	0
SRR5756970	27.2021300729186	-3.98687503764232	E7.25	0
SRR5756971	27.8669678953328	6.39770635966038	E7.25	0
SRR5756972	19.922537912921	9.28225973447932	E7.25	0
SRR5756973	25.274767204395104	8.7292235760726	E7.25	0
SRR5756974	19.9592490508404	-3.48612196191352	E7.25	0
SRR5756975	18.1241353500838	6.24735122139753	E7.25	0
SRR5756976	22.5670577415667	2.06151164245866	E7.25	0
SRR5756977	12.8993902389573	-12.028764730329303	E7.25	1
SRR5756978	-15.6880120164954	26.7652607592961	E7.25	2
SRR5756979	9.994148324554391	0.781199539650148	E7.25	0
SRR5756980	23.9627211333531	-11.4505020609	E7.25	0
SRR5756981	24.1993281238589	6.522788776801112	E7.25	0
SRR5756982	25.495813687492298	15.3678599666869	E7.25	0
SRR5756983	20.8293866232075	7.92399928196751	E7.25	0
SRR5756984	22.9474941728765	-5.20765118185989	E7.25	0
SRR5756985	17.5442477849451	-11.3371548741894	E7.25	0
SRR5756986	21.9426973033987	-4.61314179075575	E7.25	0
SRR5756987	20.7723630146524	-2.2804704143647303	E7.25	0
SRR5756988	26.008633579868196	8.75033773633805	E7.25	0
SRR5756989	11.3417755919254	14.7144860383554	E7.25	0
SRR5756990	24.467037985849103	-3.6393515328232096	E7.25	0
SRR5756991	29.3294394792727	10.5246491165351	E7.25	0
SRR5756992	16.4132773937369	2.2253561437533	E7.25	0
SRR5756993	25.334811060729297	14.0962677522874	E7.25	0
SRR5756994	21.4311098900191	3.65515900319256	E7.25	0
SRR5756995	17.4011811783099	4.24859880126434	E7.25	0
SRR5756996	23.3484614932052	13.3639168488621	E7.25	0
SRR5756997	20.8839320114887	8.301847557383809	E7.25	0
SRR5756998	20.1636858790622	4.113582819659509	E7.25	0
SRR5756999	26.788390194660202	0.638234198994696	E7.25	0
SRR5757000	20.129481880206804	9.957791914945213	E7.25	0
SRR5757001	19.4298370371283	2.65362277767506	E7.25	0
SRR5757002	25.9034851600708	3.70447546783422	E7.25	0
SRR5757003	24.1316738110751	6.324457935302321	E7.25	0
SRR5757004	21.957927656454	3.05129706026758	E7.25	0
SRR5757005	31.738434870154094	9.95972262679042	E7.25	0
SRR5757006	20.143297801038198	-12.1477678925828	E7.25	0
SRR5757007	19.2094509770622	-14.318097909674	E7.25	0
SRR5757008	13.986081254243	13.184099110890903	E7.25	0
SRR5757009	3.23547706958038	13.1042985674959	E7.25	0
SRR5757010	34.796407925855696	7.548499098054348	E7.25	0
SRR5757011	19.113608656868106	-1.62444807190187	E7.25	0
SRR5757012	20.3215595124771	7.3970559378962095	E7.25	0
SRR5757013	23.094525002546	-12.9633845117808	E7.25	0
SRR5757014	23.061926816857	11.405040866329598	E7.25	0
SRR5757015	9.15119956001861	9.27803636168746	E7.25	0
SRR5757016	25.1723787033781	-3.69325449455183	E7.25	0
SRR5757017	32.0699730029316	12.184266345258601	E7.25	0
SRR5757018	29.7680006116362	14.389290099439599	E7.25	0
SRR5757019	17.1420671037291	5.60380222492169	E7.25	0
SRR5757020	23.0876258753962	11.2340273313309	E7.25	0
SRR5757021	22.5155156705171	2.27994553501799	E7.25	0
SRR5757022	23.0993394936776	9.002516360872821	E7.25	0
SRR5757023	19.0958236870223	2.01891071319848	E7.25	0
SRR5757024	24.9817859497738	2.79462170368756	E7.25	0
SRR5757025	31.1353404007798	15.459260811339998	E7.25	0
SRR5757026	24.515410007157698	1.3637786759381798	E7.25	0
SRR5757027	18.8152776728709	4.56484444123778	E7.25	0
SRR5757028	24.351940058310298	4.70913326040097	E7.25	0
SRR5757029	32.591699817408106	6.73010824884851	E7.25	0
SRR5757030	0.344127947801641	-1.70926030030764	E7.25	1
SRR5757031	14.2678259095867	11.926848150490999	E7.25	0
SRR5757032	20.4834989290938	8.35912251166869	E7.25	0
SRR5757033	6.39858804613446	-3.32562999283878	E7.25	0
SRR5757034	23.423510068429106	9.401439403271588	E7.25	0
SRR5757035	19.387132833512002	3.1252562642534603	E7.25	0
SRR5757036	12.9093482756036	2.05342538986303	E7.25	0
SRR5757037	-0.3445184669777601	-23.724029343301506	E6.75	1
SRR5757038	-6.88461966867755	-15.3889699092304	E6.75	1
SRR5757039	-2.9205890489964403	-28.3430745359408	E6.75	1
SRR5757040	-4.907384461570151	-20.552462376227	E6.75	1
SRR5757041	-5.4221689098855	-13.690182120985599	E6.75	1
SRR5757042	-35.9227692529678	7.79199241758393	E6.75	2
SRR5757043	-14.4726937440895	-9.661323042978118	E6.75	1
SRR5757044	6.3850477148069	-11.7177332886324	E6.75	1
SRR5757045	-18.726356574799606	-15.2472500540645	E6.75	1
SRR5757046	5.54564856686589	-23.0745342501631	E6.75	1
SRR5757047	-9.68185630146575	-13.165440412356201	E6.75	1
SRR5757048	-33.622309568804695	4.28047412726558	E6.75	2
SRR5757049	-1.80161203106825	-15.072374887021999	E6.75	1
SRR5757050	-55.501941309797104	20.274996056412306	E6.75	2
SRR5757051	-3.47610799777722	-13.8429852106351	E6.75	1
SRR5757052	-13.764631047586803	-15.997952892324	E6.75	1
SRR5757053	0.0434673337615221	-10.730199858159699	E6.75	1
SRR5757054	-5.257309482621031	-16.5011082002799	E6.75	1
SRR5757055	-4.63414925933464	-12.022396479793999	E6.75	1
SRR5757056	1.52140809793347	-10.170382093061802	E6.75	1
SRR5757057	-3.18214840395301	-18.7131430192838	E6.75	1
SRR5757058	-16.6689210138158	-8.04404067476858	E6.75	1
SRR5757059	-1.89944450690325	-18.788717669741498	E6.75	1
SRR5757060	4.12024571589136	-9.060867472484713	E6.75	1
SRR5757061	3.8828227504905	-26.711329725921697	E6.75	1
