cell	PC1	PC2	line_1	line_2	pseudotime	cell_type	sex	AC
SRR2727109	-33.7021078340628	23.9649200629702	-38.7536162517118	21.0464492358354	0.0	ES2i	female	0
SRR2727120	-43.0114651246525	17.517977316700698	-38.2908017332754	20.2453754449264	0.92515755250487	ES2i	female	0
SRR2727088	-33.3755859877933	22.8610206279354	-38.1936950860063	20.0773005583798	1.11926800670938	ES2i	male	0
SRR2727094	-38.8782528474386	19.6304325586893	-38.17144987230021	20.038798255366398	1.16373458820791	ES2i	male	0
SRR2727139	-50.3839291938493	12.9428153233867	-38.1541034803844	20.008774966158303	1.19840871699826	ES2i	female	0
SRR2727103	-29.9468480111985	24.5021292285643	-38.04641725289321	19.822392652127306	1.41366366020484	ES2i	female	0
SRR2727106	-34.9178759782815	21.495302268318	-37.9880635460726	19.7213958678896	1.5303063004615398	ES2i	female	0
SRR2727146	-45.568621328504804	15.0437320379038	-37.8590916441814	19.4981778166526	1.78810476801999	ES2i	female	0
SRR2727093	-34.1099599036831	21.6244320350916	-37.84178212219	19.4682196613218	1.82270405446344	ES2i	male	0
SRR2727153	-41.2902606437045	17.4588532669687	-37.8344795451258	19.455580895190803	1.83730083633789	ES2i	female	0
SRR2727105	-30.1237093573116	23.7567992063801	-37.7677502713629	19.340091247227303	1.97068244962723	ES2i	female	0
SRR2727054	-37.887366703592704	19.1809972752049	-37.7287732241341	19.2726334164133	2.0485911728153203	ES2i	male	0
SRR2727124	-47.8816582642391	13.136886809491902	-37.6120924879488	19.0706955816968	2.28181484932942	ES2i	female	0
SRR2727102	-30.532474311887302	23.0927863457406	-37.582365377287005	19.0192478373144	2.34123346182027	ES2i	female	0
SRR2727100	-35.1658528949913	20.2448250528862	-37.5084026940623	18.891244111994	2.48906929037913	ES2i	female	0
SRR2727107	-29.1666481849272	23.7011842656919	-37.5040171508445	18.8836543528053	2.49783498680662	ES2i	female	0
SRR2727114	-31.7224673944911	22.071837676774006	-37.4379130288104	18.7692527999329	2.62996170722874	ES2i	female	0
SRR2727060	-35.992257256624605	19.3681677896018	-37.335482843990505	18.591987476129106	2.834693086810661	ES2i	male	0
SRR2727052	-33.9922658346248	20.4176341648749	-37.2894571830083	18.5123374586784	2.9266848622514097	ES2i	male	0
SRR2727091	-50.1589202338661	11.0649984170066	-37.2848381718541	18.504344077088	2.9359168400076903	ES2i	male	0
SRR2727085	-27.5313899727152	24.0922603392344	-37.2639416731378	18.4681820550248	2.97768232214662	ES2i	male	0
SRR2727142	-42.8353893219206	15.182156010879199	-37.235135968028494	18.4183333509214	3.0352554230501	ES2i	female	0
SRR2727101	-37.0140705144967	18.5216858215393	-37.2245681358655	18.4000456215947	3.056376978877	ES2i	female	0
SRR2727116	-33.0781939809157	20.7638569362533	-37.210587984559005	18.3758531191713	3.0843183783419903	ES2i	female	0
SRR2727144	-38.6725673536219	17.4882963060649	-37.19208273611029	18.3438301478602	3.1213037120803	ES2i	female	0
SRR2727113	-29.231929877771698	22.852173265206105	-37.152346342270796	18.2750680535849	3.20072163577828	ES2i	female	0
SRR2727053	-26.275341325759	24.5315539824876	-37.1396708821139	18.2531341197658	3.2260547118443705	ES2i	male	0
SRR2727132	-44.27869044378311	14.1084696280669	-37.131407221119	18.2388344809468	3.2425703941914903	ES2i	female	0
SRR2727154	-32.753634340081895	20.7266965422858	-37.1131772199843	18.207289074173	3.27900452146106	ES2i	female	0
SRR2727140	-47.45554841243171	12.159669939251401	-37.0825496820245	18.1542916663572	3.34021539726494	ES2i	female	0
SRR2727045	-26.288894537639397	24.3516684237788	-37.0649788482131	18.1238877680719	3.37533136559516	ES2i	male	0
SRR2727066	-28.714198155757998	22.8297659665628	-37.0128316839005	18.0336565256299	3.4795475057006096	ES2i	male	0
SRR2727115	-31.027961325512802	21.4632076776448	-37.0000919528598	18.011613305226298	3.50500736258848	ES2i	female	0
SRR2727145	-32.8357789285322	20.3553022000168	-36.97271794458271	17.964249491085997	3.55971263855953	ES2i	female	0
SRR2727155	-35.0586007948526	18.916559369444002	-36.9059959372908	17.848808758991602	3.69304826351982	ES2i	female	0
SRR2727121	-37.5386852898055	17.409710039263803	-36.8741950831212	17.7937905506607	3.75659586437041	ES2i	female	0
SRR2727064	-35.0801645395929	18.7256924275999	-36.8286544590606	17.7150048348573	3.84759661961165	ES2i	male	0
SRR2727133	-58.0566311627154	5.34634675324458	-36.7864371753882	17.641972896163896	3.93195278779154	ES2i	female	0
SRR2727047	-25.859885992873	23.9252430179939	-36.7720000584292	17.616998740878802	3.96079960353074	ES2i	male	0
SRR2727123	-36.811783610063294	17.5782558973109	-36.765178246937396	17.6051982490364	3.97443003711716	ES2i	female	0
SRR2727150	-39.8576862368338	15.6432890387853	-36.6897828394663	17.4747872023353	4.12506704641237	ES2i	female	0
SRR2727112	-34.468780099884896	18.7127135752162	-36.6697531039663	17.4401434342635	4.16508430481935	ES2i	female	0
SRR2727076	-40.0192307183946	15.344124001832599	-36.6007462555538	17.320801756761902	4.30294068340491	ES2i	male	0
SRR2727141	-42.28146014996821	13.9798090834239	-36.5765216177958	17.2789095304215	4.35133274579393	ES2i	female	0
SRR2727147	-41.9121246128448	14.0546462002846	-36.5165093696952	17.1751407290879	4.47120532002296	ES2i	female	0
SRR2727048	-28.884347748316003	21.542732955552	-36.4962781851551	17.140159790887598	4.51161530474536	ES2i	male	0
SRR2727129	-37.6729246530594	16.412205142163998	-36.475742464979895	17.1046554302666	4.55263085577447	ES2i	female	0
SRR2727077	-29.059877916543602	21.3720679544197	-36.46624038577721	17.0882272184994	4.57160914998243	ES2i	male	0
SRR2727110	-34.8577122636339	18.0137140036666	-36.464105364139705	17.0845360556073	4.57587330299191	ES2i	female	0
SRR2727071	-35.851186389007104	17.4174019923139	-36.454713658908794	17.0682994341005	4.59463048841779	ES2i	male	0
SRR2727098	-33.934648968066895	18.4556274924268	-36.424185662999	17.0155243710286	4.65559905258421	ES2i	female	0
SRR2727130	-35.268863050299395	17.6560813884205	-36.4121425181681	16.9947055445197	4.67965026616322	ES2i	female	0
SRR2727117	-30.5992516607494	20.287900266730606	-36.381949809981705	16.9425149560386	4.739945018452549	ES2i	female	0
SRR2727062	-35.0160334514008	17.7050820963684	-36.3699527630415	16.9217780595276	4.7639022305648	ES2i	male	0
SRR2727138	-35.7935270004584	17.171003928097402	-36.3334176627299	16.8586313715475	4.83685644742472	ES2i	female	0
SRR2727125	-43.4270437651879	12.7310266415013	-36.3233002975492	16.8411449731001	4.857058803942191	ES2i	female	0
SRR2727137	-41.227159737547005	13.9491182038941	-36.299729594826395	16.800409700364	4.904121958019821	ES2i	female	0
SRR2727134	-48.0119788726264	10.0186928432123	-36.2978469447905	16.7971562180221	4.90788088319953	ES2i	female	0
SRR2727096	-34.4117811308843	17.830583260166602	-36.2726904641199	16.7536830000445	4.958108059121098	ES2i	female	0
SRR2727095	-33.2510889878574	18.4365204059774	-36.2441478220024	16.7043622836899	5.01509240329371	ES2i	male	0
SRR2727075	-27.0779214888773	21.9603866047576	-36.222901392408	16.6676510584537	5.05750849492001	ES2i	male	0
SRR2727099	-32.2681796451979	18.8755506113162	-36.1877355944253	16.6068948440751	5.12770786053954	ES2i	female	0
SRR2727143	-33.8402605863185	17.8449590782982	-36.13533533633471	16.5163736064959	5.23230174898832	ES2i	female	0
SRR2727061	-32.6779594349614	18.4914634707225	-36.123832405196794	16.4965028804917	5.25526178332397	ES2i	male	0
SRR2727097	-34.236524238083	17.513112144498198	-36.090829997579	16.4395010340269	5.3211280828175	ES2i	female	0
SRR2727057	-31.8314235794122	18.8587985331801	-36.0704352702888	16.404277153062	5.361830253416509	ES2i	male	0
SRR2727065	-33.4032575367293	17.8599113415082	-36.031886001516106	16.3377065410884	5.43875679305949	ES2i	male	0
SRR2727151	-35.9462101307591	16.3417631484482	-36.0121271730511	16.3035873528991	5.4781843253816	ES2i	female	0
SRR2727092	-36.7134658924803	15.88439938116	-36.0064856726916	16.293846337356698	5.489441052708111	ES2i	male	0
SRR2727119	-34.4997232667638	16.9451640338064	-35.9104048008859	16.1279790198913	5.681126996194051	ES2i	female	0
SRR2727086	-35.0985515491485	16.509560609119102	-35.8718738606355	16.0614745700088	5.7579870977471685	ES2i	male	0
SRR2727131	-34.1949156454115	17.0314886924737	-35.8711513654525	16.060227662950197	5.759428200277281	ES2i	female	0
SRR2727104	-29.9819351988526	19.426299408160602	-35.850898669993	16.0252758434537	5.79982376141328	ES2i	female	0
SRR2727072	-36.2306816918046	15.6795153911212	-35.7963896163879	15.931224564631501	5.90852923493237	ES2i	male	0
SRR2727079	-30.419469070567693	19.0128872748112	-35.7813265199538	15.905235112911	5.93856835068025	ES2i	male	0
