	C_score	pvals
mock_Zc3h14_1_27	0.010616141700662163	0.5972517902070834
mock_Zc3h14_1_28	0.023703257933054056	0.19372943681052834
mock_Zc3h14_1_29	0.0008328702730604487	0.9750338687826592
mock_Zc3h14_1_30	0.01693831808637669	0.36491194116508613
mock_Zc3h14_1_32	0.014022899177852932	0.471066382814012
mock_Zc3h14_1_33	0.002908089215572174	0.9047803367524676
mock_Zc3h14_1_34	0.024003082081505367	0.18860073543642344
mock_Zc3h14_1_35	0.009957573992087076	0.6251209599380685
mock_Zc3h14_1_36	0.013427065378639802	0.4927424037158893
mock_Zc3h14_1_37	0.014617172889905272	0.4464873233984904
mock_Zc3h14_1_38	0.004776544836430419	0.8329785175149991
mock_Zc3h14_1_40	0.007955073447162064	0.7053415908651055
mock_Zc3h14_1_41	0.007251674385045925	0.7325333849429069
mock_Zc3h14_1_42	0.012530847213750196	0.5260305786723437
mock_Zc3h14_1_43	0.006557753380351028	0.7586607315657055
mock_Zc3h14_1_47	0.014882243951362062	0.4357460808980066
