exon	frequency	size	mean_expression	read_counts	psi_mean	psi_binary
1110059E24Rik_3	0.23392521082295734	0.7692269304275943	1.1457315531324723	0.4571041411977752	0.23176596174532205	1.0498221244986774
1300002E11Rik_8	0.26899595110492186	0.38349811219810415	1.043050257734999	0.09769182146743767	0.07380952380952382	1.8718021769015918
1700001L05Rik_1	0.04249245306103876	1.0656669931777047	0.2743145087437062	0.09455610761457907	0.12222222222222223	2.8332133440562157
2410004B18Rik_nmdSE_1	0.1259012075433344	0.6350907025461008	1.0956883556619492	0.6740083081970691	0.2789177138078376	0.6773988235918059
2610318N02Rik_1	0.1244890405643198	0.7693540316259598	1.1084621776325958	0.732103843602654	0.12286025171624759	-0.21357410029805918
2700099C18Rik_1	0.10128487825662949	0.6645048973404408	0.7075751913356225	0.799154196959024	0.15049870535634546	0.371563556432483
2810408A11Rik_2	0.04014833635522639	0.5441815615033716	0.19386558737887769	0.08821592958356005	0.16666666666666663	2.4849066497880012
4930432K21Rik_2	0.019543446860184364	0.3890181813345432	0.19780226537435103	0.09769182146743767	0.12878787878787878	1.5040773967762744
4931406P16Rik_1	0.1671904520018083	1.82960246104923	0.6520448589611147	0.11604502344831745	0.1393939393939394	2.3025850929940455
5530601H04Rik_1	0.030757083716403538	1.2309980526548385	0.9394806716891644	0.6527775668367325	0.05589180297267771	0.0
5530601H04Rik_7	0.030757083716403538	1.2309980526548385	0.9394806716891644	0.20265028757514922	0.15174603174603163	2.1972245773362196
8030462N17Rik_1	0.06955861796885503	0.4898442716200843	0.20247736013517156	0.11001305867840436	0.06481481481481477	2.0794415416798353
A930005H10Rik_2	0.04149078317577591	0.5291893851090217	0.4629841834691354	0.19272312434213798	0.11498989898989898	1.3862943611198908
Acin1_10	0.5060035956162459	0.8486893083278817	1.0903796442084963	0.40646345673763284	0.10152807391613361	0.9267620317414502
Acin1_2	0.5060035956162459	0.8486893083278817	1.0903796442084963	0.36121720164729776	0.2362137862137863	1.252762968495368
Acin1_8	0.5060035956162459	0.8486893083278817	1.0903796442084963	0.40646345673763284	0.25365916135146904	1.292768303109067
Acly_1	0.23480592759929503	1.0111163815311492	1.384048584923488	0.9160981152797908	0.0805771304964733	-0.796943974241589
Acsl3_2	0.281255508897628	0.5989847981191205	0.7657706909359434	0.2424787511435686	0.08333333333333326	1.5314763709643884
Adal_4	0.0985025762083035	0.5882706813894156	0.6413192469417814	0.3860407853723299	0.29038184038184045	1.7227665977411037
Adam23_1	0.14248212397525814	0.43145977447922174	0.24826072991531598	0.16952086926104046	0.15101565101565095	1.845826690498331
Add1_3	0.34873131677067903	0.32196965369450936	0.9167763109484182	0.38118828257791776	0.22506012506012507	2.0794415416798353
Add1_4	0.34873131677067903	0.32196965369450936	0.9167763109484182	0.4288932852895978	0.29172362724994305	1.1700712526502548
Adhfe1_3	0.04264770248371007	0.5243786491116463	0.3434509554504125	0.14500871938363402	0.08333333333333337	2.4849066497880012
Agfg2_1	0.09526047394656234	0.39324421981707636	0.353877892789069	0.07852866218042835	0.011111111111111127	2.639057329615259
Akap13_3	0.33319150554931914	0.3049532392562193	0.3747226341303524	0.09769182146743767	0.2916666666666667	2.70805020110221
Akap17b_1	0.09186241996783392	0.8143718777498281	0.25509502863309347	0.3543507426943807	0.1704739704739705	1.8607523407150068
Akap2_1	0.45312147898805266	0.604972208319137	0.6381565208020784	0.8047102789031115	0.0479561622136096	-0.49995595152908695
Alg3_5	0.13748922810520198	0.6770724274503377	1.1408425903803439	0.9396541476288358	0.2893092145390821	0.4567584024957149
Alkbh1_3	0.3979019645463199	0.3023740173702921	1.043953852680433	0.22651862774984158	0.153921568627451	1.3499267169490154
Alkbh1_nmdSE_1	0.3979019645463199	0.3023740173702921	1.043953852680433	0.41406950897257344	0.2674054663009404	1.5723966407537513
Alkbh3_1	0.23269983829942675	0.3721567871086916	1.024062893672412	0.6773109437471547	0.28319423016107204	0.8472978603872034
Alkbh3_2	0.23269983829942675	0.3721567871086916	1.024062893672412	0.47055086492502163	0.15389701887379914	0.8754687373539001
Anapc16_1	0.1811616204538737	0.8236549603726662	1.3421081455852133	0.5695742372464772	0.12836289527466016	0.41616039722491216
Anapc16_2	0.1811616204538737	0.8236549603726662	1.3421081455852133	1.01838558060476	0.22322933572067466	-0.8209805520698301
Ankrd10_nmdSE_1	0.23463382001239108	1.0384044315755654	1.3084457836102523	0.7865467954938443	0.2871413906027004	-0.02020270731751924
Ankrd11_nmdSE_1	0.30091698187956883	1.2016302850936826	0.6582567697589036	0.25787307863383147	0.02275132275132269	2.0794415416798353
Ankrd12_1	0.12280664776143309	0.8299566327085739	0.6479253161853697	0.2970997020355488	0.141399416909621	1.9694406464655072
Ankrd17_2	0.4078909797863221	0.7324635370288569	0.9491301400882897	0.31828900110548686	0.14999999999999997	1.0498221244986774
Ankrd17_3	0.4078909797863221	0.7324635370288569	0.9491301400882897	0.13365396850651196	0.20400000000000007	3.178053830347945
Ankrd24_4	0.05268609070220644	0.7333543523706813	0.3892875780243018	0.17216096542724882	0.031609195402298895	2.6026896854443833
Ankrd9_1	0.08750631122956297	0.479753613947252	0.5637476698335049	0.35607756199488666	0.1318219935201067	1.5869650565820421
Anks1_3	0.021041535224822404	1.2788034870617857	0.2023867863068367	0.0719483168691068	0.17999999999999994	2.639057329615259
Anxa6_1	0.28844551049209455	0.5877471935760032	1.1164500156722794	0.9113256004185458	0.19997709469216007	-0.25131442828090605
Ap2b1_2	0.3496654026425197	0.6510040691025802	0.6424780758348233	0.3876463120877483	0.03240413286179877	1.1180303745252114
