	SRR4047452	SRR4047453	SRR4047431	SRR4047415	SRR4047430	SRR4047450	SRR4047404	SRR4047426	SRR4047425	SRR4047424	SRR4047441	SRR4047410	SRR4047448	SRR4047440	SRR4047446	SRR4047406	SRR4047422	SRR4047435	SRR4047451	SRR4047434	SRR4047408	SRR4047437	SRR4047454	SRR4047405	SRR4047445	SRR4047444	SRR4047414	SRR4047399	SRR4047443	SRR4047449	SRR4047396	SRR4047400	SRR4047398	SRR4047442	SRR4047457	SRR4047419	SRR4047417	SRR4047401	SRR4047403	SRR4047412	SRR4047420	SRR4047423	SRR4047436	SRR4047455	SRR4047428	SRR4047411	SRR4047429	SRR4047427	SRR4047397	SRR4047447	SRR4047456	SRR4047438	SRR4047402	SRR4047433	SRR4047416	SRR4047418	SRR4047421	SRR4047458	SRR4047439	SRR4047432	SRR4047409	SRR4047407	SRR4047297	SRR4047296	SRR4047335	SRR4047282	SRR4047281	SRR4047356	SRR4047348	SRR4047372	SRR4047375	SRR4047366	SRR4047383	SRR4047380	SRR4047246	SRR4047382	SRR4047361	SRR4047386	SRR4047373	SRR4047251	SRR4047368	SRR4047376	SRR4047357	SRR4047245	SRR4047355	SRR4047266	SRR4047277	SRR4047258	SRR4047269	SRR4047247	SRR4047264	SRR4047253	SRR4047268	SRR4047276	SRR4047250	SRR4047256	SRR4047248	SRR4047377	SRR4047395	SRR4047270	SRR4047272	SRR4047265	SRR4047273	SRR4047275	SRR4047384	SRR4047257	SRR4047267	SRR4047259	SRR4047262	SRR4047249	SRR4047381	SRR4047365	SRR4047252	SRR4047274	SRR4047261	SRR4047387	SRR4047374	SRR4047388	SRR4047360	SRR4047364	SRR4047358	SRR4047363	SRR4047255	SRR4047392	SRR4047379	SRR4047271	SRR4047370	SRR4047367	SRR4047354	SRR4047369	SRR4047378	SRR4047391	SRR4047385	SRR4047394	SRR4047254	SRR4047291	SRR4047371	SRR4047393	SRR4047333	SRR4047342	SRR4047389	SRR4047292	SRR4047329	SRR4047313	SRR4047326	SRR4047293	SRR4047307	SRR4047328	SRR4047324	SRR4047305	SRR4047306	SRR4047304	SRR4047327	SRR4047334	SRR4047312	SRR4047337	SRR4047320	SRR4047317	SRR4047289	SRR4047347	SRR4047303	SRR4047294	SRR4047319	SRR4047316	SRR4047330	SRR4047314	SRR4047308	SRR4047298	SRR4047349	SRR4047286	SRR4047325	SRR4047310	SRR4047350	SRR4047284	SRR4047345	SRR4047339	SRR4047351	SRR4047352	SRR4047336	SRR4047340	SRR4047309	SRR4047301	SRR4047318	SRR4047343	SRR4047341	SRR4047287	SRR4047321	SRR4047288	SRR4047322	SRR4047346	SRR4047344	SRR4047302	SRR4047353	SRR4047299	SRR4047279	SRR4047283	SRR4047290	SRR4047300	SRR4047280	SRR4047311	SRR4047285	SRR4047338
AASS_8	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	0.9852941176470588		0.9090909090909092	1.0	1.0	1.0	1.0	1.0	1.0		1.0	0.984126984126984	1.0	0.9801980198019802	0.9933993399339934	1.0					1.0	1.0			1.0		1.0	0.9859154929577464	1.0			1.0	1.0		0.9866666666666668	0.9439252336448598	1.0	0.9142857142857144	1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0	1.0	1.0			1.0								1.0							1.0									1.0									1.0									1.0			1.0				1.0			1.0																				0.9583333333333334																																																																				
AASS_9	0.9739818042683446	0.9834898359302444	0.9796696315120712	1.0	0.8924843423799582	0.8870462715992115	1.0	0.8527607361963192	0.7756563245823389	0.9666134097294916	0.9310035842293908	0.9116945107398567	0.7635597682991048	0.8135964912280702	0.8734793187347932	0.7860443622920518	0.9435503358948336	0.7940491127442194	0.9426819200377404	1.0	0.9172113289760347	0.9095710965560956	0.8328968903436988	0.8291032148900169	0.7993906726037029	0.9266862170087976	1.0	0.8703208556149733	0.8479087452471483	0.8857372762019714	0.9069622229160162	0.8866736621196223	0.8214067278287461	0.7877436017844565	0.9082099882866574	1.0	0.7796291319537758	1.0	0.8544194107452341	1.0	0.8403407229441957	0.9568287270526528	1.0	0.8986852992553094	0.8813618813618813	0.9700674536256324	1.0	0.7922794117647058	0.9087854056649064	0.9605815831987076	1.0	1.0	0.6486613433536872	0.653155159613957	0.31121642969984203	0.7453142227122381	0.3576950105411103	0.7260612364298251	0.9974478945129732	1.0	0.7456790123456791	0.9592760180995475		1.0			1.0	1.0		1.0	1.0	1.0	1.0		1.0	1.0	1.0		0.8180152671755725	1.0		1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0		1.0	1.0		0.9957310565635006	0.696969696969697	0.36028537455410226	1.0		1.0	1.0	1.0	1.0			1.0	1.0	1.0		1.0	1.0			1.0	1.0	1.0	1.0			1.0	1.0		0.1828793774319066	1.0	1.0	1.0	1.0			1.0	1.0		1.0	1.0		1.0		1.0	1.0																			1.0		1.0								1.0							1.0								1.0						1.0	1.0	1.0			1.0	1.0	1.0			1.0
ABAT_4														1.0																																																		0.6025641025641025					1.0	0.7391304347826086	1.0						1.0						1.0	1.0			1.0			1.0				1.0			1.0		1.0	0.0												1.0	1.0		1.0	1.0			1.0			1.0	1.0	1.0		1.0	1.0		1.0	1.0				1.0				1.0																																1.0			1.0			1.0		1.0								1.0						1.0	1.0						1.0			
ABCA11P_1									1.0				0.0					1.0			0.6338028169014085																																														0.9918032786885246													0.0															1.0	1.0	1.0		0.0		0.0	1.0			1.0	1.0			1.0					0.0		1.0					1.0																																																												1.0																					
ABCA5_11	1.0					1.0				1.0											1.0	1.0	1.0	1.0																																					1.0							1.0								1.0																	0.0																																				1.0																													1.0																																									1.0		0.0	
ABCA5_7	1.0					1.0				1.0												1.0	1.0	1.0																																					1.0							0.0								1.0																	1.0																																																																	1.0																																									0.0		1.0	
ABCB7_3	0.0				0.0	0.0		0.0	0.022222222222222227	0.0		0.0			0.0				0.0		0.0	0.0			0.0	0.0					0.0	0.0		0.0	0.0	0.0	0.0	0.0						0.0	0.0		0.0			0.0					0.0	0.0	0.0	0.0	0.0									1.0				1.0	1.0						1.0										0.0			0.0		0.0		0.0	0.0			0.0	0.0	0.0			1.0	0.0	0.0						0.0						1.0		1.0	1.0				0.0				1.0	1.0					0.0		1.0				0.0																																															0.0			0.0	0.0						0.0	0.0		0.0
ABCB7_4	0.0				0.0	0.0		0.0	0.0	0.0		0.0			0.0				0.0		0.0	0.0			0.0	0.0					0.0	0.0		0.0	0.0	0.0	0.0	0.0						0.0	0.0		0.0			0.0					0.0	0.0	0.0	0.0	0.0													1.0	1.0					1.0	1.0										0.0			0.0		0.0		0.0	0.0			0.0	0.0	0.0			1.0	0.0	0.0						0.0						1.0		1.0	1.0				0.0				1.0	1.0					0.0						0.0																																															0.0			0.0	0.0						0.0	0.0		0.0
ABCC5_1				1.0		1.0													1.0							1.0						1.0			1.0																																	0.0																																																																																			1.0								1.0	1.0																		1.0								1.0						1.0	1.0						0.0			1.0
ABCC5_2				1.0		1.0													1.0							1.0						1.0			1.0													1.0																				0.0																																																																																			1.0								1.0	1.0																		1.0								1.0						1.0	1.0						0.0			1.0
