	SRR4047452	SRR4047453	SRR4047431	SRR4047415	SRR4047430	SRR4047450	SRR4047404	SRR4047426	SRR4047425	SRR4047424	SRR4047441	SRR4047410	SRR4047448	SRR4047440	SRR4047446	SRR4047406	SRR4047422	SRR4047435	SRR4047451	SRR4047434	SRR4047408	SRR4047437	SRR4047454	SRR4047405	SRR4047445	SRR4047444	SRR4047414	SRR4047399	SRR4047443	SRR4047449	SRR4047396	SRR4047400	SRR4047398	SRR4047442	SRR4047457	SRR4047419	SRR4047417	SRR4047401	SRR4047403	SRR4047412	SRR4047420	SRR4047423	SRR4047436	SRR4047455	SRR4047428	SRR4047411	SRR4047429	SRR4047427	SRR4047397	SRR4047447	SRR4047456	SRR4047438	SRR4047402	SRR4047433	SRR4047416	SRR4047418	SRR4047421	SRR4047458	SRR4047439	SRR4047432	SRR4047409	SRR4047407	SRR4047297	SRR4047296	SRR4047335	SRR4047282	SRR4047281	SRR4047356	SRR4047348	SRR4047372	SRR4047375	SRR4047366	SRR4047383	SRR4047380	SRR4047246	SRR4047382	SRR4047361	SRR4047386	SRR4047373	SRR4047251	SRR4047368	SRR4047376	SRR4047357	SRR4047245	SRR4047355	SRR4047266	SRR4047277	SRR4047258	SRR4047269	SRR4047247	SRR4047264	SRR4047253	SRR4047268	SRR4047276	SRR4047250	SRR4047256	SRR4047248	SRR4047377	SRR4047395	SRR4047270	SRR4047272	SRR4047265	SRR4047273	SRR4047275	SRR4047384	SRR4047257	SRR4047267	SRR4047259	SRR4047262	SRR4047249	SRR4047381	SRR4047365	SRR4047252	SRR4047274	SRR4047261	SRR4047387	SRR4047374	SRR4047388	SRR4047360	SRR4047364	SRR4047358	SRR4047363	SRR4047255	SRR4047392	SRR4047379	SRR4047271	SRR4047370	SRR4047367	SRR4047354	SRR4047369	SRR4047378	SRR4047391	SRR4047385	SRR4047394	SRR4047254	SRR4047291	SRR4047371	SRR4047393	SRR4047333	SRR4047342	SRR4047389	SRR4047292	SRR4047329	SRR4047313	SRR4047326	SRR4047293	SRR4047307	SRR4047328	SRR4047324	SRR4047305	SRR4047306	SRR4047304	SRR4047327	SRR4047334	SRR4047312	SRR4047337	SRR4047320	SRR4047317	SRR4047289	SRR4047347	SRR4047303	SRR4047294	SRR4047319	SRR4047316	SRR4047330	SRR4047314	SRR4047308	SRR4047298	SRR4047349	SRR4047286	SRR4047325	SRR4047310	SRR4047350	SRR4047284	SRR4047345	SRR4047339	SRR4047351	SRR4047352	SRR4047336	SRR4047340	SRR4047309	SRR4047301	SRR4047318	SRR4047343	SRR4047341	SRR4047287	SRR4047321	SRR4047288	SRR4047322	SRR4047346	SRR4047344	SRR4047302	SRR4047353	SRR4047299	SRR4047279	SRR4047283	SRR4047290	SRR4047300	SRR4047280	SRR4047311	SRR4047285	SRR4047338
CHL1_1																																																																																																																									1.0																		0.0	0.2195121951219512	0.0								1.0																		0.0					0.0					0.0	0.0	0.0	0.0	0.0							0.0		0.0			0.0						0.0		0.0	
CHL1_2																																																																	1.0		1.0																																																							0.01529051987767584						1.0										1.0	1.0	1.0		1.0	1.0	1.0			1.0			1.0			1.0	1.0		1.0			1.0	1.0							0.4776470588235294			0.0	1.0	1.0	0.0		0.5294117647058824	1.0	0.6040283817807278	1.0	1.0	0.4607843137254902	0.9044684129429892	1.0		1.0		1.0	1.0	1.0	0.0196078431372549	1.0		0.24731182795698925	0.20124804992199688	1.0			0.9703196347031964		0.8492462311557789	1.0	1.0	1.0
CHL1_4																																																																																																																																											0.6059113300492611	1.0	1.0																		0.2380952380952381	0.08333333333333333							1.0					1.0					1.0	1.0	1.0	1.0	1.0	1.0				1.0		1.0		1.0		1.0	1.0				1.0		1.0		1.0	
CHMP7_1					1.0							1.0	1.0																							0.0						1.0																								1.0			1.0					1.0																															1.0																		1.0		1.0					1.0																																																										1.0		1.0								1.0	1.0		1.0	
CHM_4	1.0	1.0	1.0		1.0	1.0	1.0	0.913978494623656	1.0	1.0	1.0	1.0			1.0	1.0		1.0		1.0		1.0	1.0	1.0		1.0		1.0	1.0		1.0	1.0	1.0		1.0					1.0			1.0	1.0	1.0																		1.0	1.0		1.0	1.0	1.0	1.0	1.0												1.0				0.01818181818181818			1.0	1.0																	1.0			1.0			1.0		1.0		1.0			1.0																			1.0							1.0					1.0													1.0						1.0			1.0										1.0						1.0			0.0	0.0						1.0			1.0
CHN1_5	0.0					0.0			0.0	0.0		0.0			0.0																										1.0	0.0				0.0										0.0		0.0							1.0									0.0007651109410864575			0.0						0.0				0.0			0.0						0.0					0.0			0.0	1.0						1.0																																			0.0																0.001455604075691412		0.0			0.0		0.0					0.0	0.0	1.0							0.0						0.0		0.0				0.0		0.0				0.0	0.0
CHORDC1_3	0.0	0.4244604316546763	0.41818181818181815		0.10465116279069768	0.0	0.0	0.0	0.7808219178082192	0.0	0.0	0.0	0.0	0.0			0.0		0.0	0.0005288207297726071		0.5609756097560976	0.0			1.0	0.0	0.0	0.0	1.0		1.0		1.0	1.0	0.0		0.0	0.0		0.0	0.0			0.0		0.4217506631299735	0.0	0.0	0.0	1.0	1.0			0.0		1.0		0.0	1.0	0.0	0.0		0.0	1.0	0.0			0.0		0.0			0.0					0.06878306878306878	0.0							0.0			0.0		0.0	1.0			0.0		0.0		1.0			1.0						0.0	0.0		0.008264462809917356										0.0							0.0		0.0		0.0		0.0				0.0	0.0		0.0																	1.0	1.0										0.3930348258706468			0.4193458594293668			1.0	0.0011976047904191614	0.9984164687252574	1.0	0.0						1.0					0.0				0.0		0.0					0.5586854460093896
CHST9_1	1.0					1.0			1.0	1.0		1.0			1.0	1.0	0.6851851851851852	1.0							1.0					0.0	1.0						1.0							1.0						1.0																	1.0																																																																																																																																							
CHTOP_3	1.0				1.0					1.0															1.0	1.0				1.0		1.0	1.0		1.0		1.0			1.0			1.0			1.0			1.0		0.0	0.0	1.0	1.0			1.0					1.0					0.0						1.0	1.0					0.0																													1.0		1.0		1.0																1.0											0.0							1.0																		1.0								1.0																														
CHTOP_4	0.0019569471624266144				0.8591549295774648					0.0					0.9877300613496932	1.0		1.0							1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0		1.0	1.0	1.0			1.0		1.0	1.0			1.0			0.8058252427184466				1.0	1.0	1.0		0.0						1.0										1.0	1.0		1.0															1.0	1.0													1.0			0.0		0.15789473684210525		1.0											1.0					0.0										1.0								0.0																		0.0								0.0																														
CHURC1_2	1.0	0.8033115905669844	0.8118081180811808	0.7305936073059359	0.9813084112149532	0.9603524229074889	0.65	0.6338028169014085	1.0	1.0	1.0	0.7942857142857143	1.0	0.5404040404040404	1.0	0.9953161592505856	0.9965277777777778	0.9848369977255496	0.9738805970149254	0.6335776149233844	0.9951456310679612	0.9735099337748344	1.0	1.0	1.0	0.9788359788359788	1.0	1.0	1.0	1.0	1.0	0.9113924050632912	0.8303198887343533	0.968847352024922	0.9431952662721892	1.0	1.0	0.9946619217081851	1.0	1.0	1.0	0.9827935222672064	1.0	0.9988419224088014	0.7269841269841271	0.4423963133640553	1.0	1.0	0.959079283887468	0.8241758241758241	1.0	1.0	0.6524064171122995	0.5943562610229277	1.0	1.0	1.0	1.0	1.0	0.8818897637795275	1.0	0.7034965034965035	1.0	0.7076923076923077	1.0	0.6525612472160356	0.9195561719833564	0.9663865546218487	0.6268656716417911	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	0.6209677419354839	1.0	1.0	0.8896551724137931	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	0.24585635359116026	0.9021406727828746	1.0	1.0	1.0	0.9428571428571428	1.0	1.0	1.0	0.9933554817275748	1.0	0.9611111111111112	0.9375	1.0		1.0	1.0	1.0	1.0	1.0		0.8959537572254336	1.0	1.0		1.0	1.0	1.0	0.3738601823708207	1.0	1.0	0.1971326164874552	0.8894472361809045	1.0	1.0	1.0		0.8004604758250192	0.0		1.0	1.0	1.0		1.0	0.3907284768211921	0.7021276595744681	1.0	0.8984375				1.0	1.0				1.0			1.0		1.0			1.0	1.0			1.0		1.0			1.0	1.0	0.9705882352941176	1.0	1.0	0.9727602905569008	1.0		1.0	1.0	1.0	0.9545454545454546		1.0	1.0		1.0	1.0	1.0	1.0		1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9908675799086758	1.0	1.0	0.8604651162790697
CHURC1_3	1.0	0.8965153115100317	0.9022988505747126	0.8621495327102804	0.9908616187989556	0.9805615550755942	0.78125	0.7552941176470588	1.0	1.0	1.0	0.8217821782178217	1.0	0.5873015873015873	1.0	0.9973368841544608	0.9985374771480804	0.9910031488978858	0.9879931389365352	0.7636441770519983	0.9977194982896236	0.9866888519134775	1.0	1.0	1.0	0.9904076738609112	1.0	1.0	1.0	1.0	1.0	0.9597701149425288	0.9058641975308642	0.9848637739656912	0.9738704409363091	1.0	1.0	0.996742671009772	1.0	1.0	1.0	0.9925389510642968	1.0	0.999481865284974	0.8506944444444444	0.24375	1.0	1.0	0.9774330042313116	0.9061583577712611	1.0	1.0	0.6153846153846154	0.5736002966258806	1.0	1.0	1.0	1.0	1.0	0.9412915851272016	1.0	0.8397581254724111	1.0	0.8053777208706786	1.0	0.6687898089171974	0.9302045728038508	0.9558011049723756	0.6453900709219859	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	0.7934065934065934	1.0	1.0	0.9463087248322148	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	0.4495967741935484	0.9496062992125984	1.0	1.0	1.0	0.973517559009787	1.0	1.0	1.0	0.9969558599695586	1.0	0.9828220858895704	0.9716981132075472	1.0		1.0	1.0	1.0	1.0	1.0		0.9498607242339832	1.0	1.0	1.0	1.0	1.0	1.0	0.5726141078838174	1.0		0.1154985192497532	0.9320987654320988	1.0	1.0	1.0		0.6291012838801712	0.0		1.0	1.0	1.0		1.0	0.54	0.8488529014844804	1.0	0.9494655004859086				1.0	1.0		1.0		1.0			1.0		1.0			1.0	1.0			1.0		1.0			1.0	1.0	0.9866920152091256	1.0	1.0	0.9879243257748558	1.0		1.0	1.0	1.0	0.9775280898876404	1.0	1.0	1.0		1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9901960784313726	1.0	1.0	0.9019607843137256
CIAPIN1_4	0.9990888382687928	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9977835241965276		1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07713884992987377	1.0		1.0	0.9955456570155902	1.0	1.0	1.0	0.700587084148728	1.0	1.0	1.0	0.08069458631256382	1.0	1.0	0.10220994475138122	1.0	1.0	0.11611650485436892	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0				1.0	1.0		1.0	1.0		1.0	1.0			1.0			1.0		1.0	1.0					1.0	1.0		1.0	1.0			1.0						1.0			1.0	0.5183585313174947	1.0	0.8646034816247582					1.0		1.0	1.0			1.0	1.0	1.0					1.0			1.0	1.0	1.0	1.0		0.9846743295019156	1.0	1.0	0.0	1.0		1.0	1.0	1.0		1.0	1.0		1.0	0.6367432150313153	1.0	0.0	1.0								1.0	1.0			1.0			1.0	1.0					1.0			1.0	1.0	1.0	1.0		1.0	1.0		1.0	1.0	1.0		1.0	1.0		1.0	1.0		1.0					1.0	1.0	1.0		1.0	1.0			1.0	1.0		1.0
CIAPIN1_5	1.0	1.0	1.0	0.06493506493506493	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		0.8582677165354331	1.0	0.058365758754863814	1.0	0.04819277108433735	1.0	1.0			1.0	1.0	1.0	0.9047619047619048		1.0	1.0	1.0	1.0	0.9464285714285714	0.9875776397515528	1.0	0.9168490153172868	1.0	1.0	0.4921875	0.15555555555555556	0.8805970149253731	1.0	1.0	0.911904761904762	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0		0.9807692307692308	1.0		1.0	1.0		0.9961538461538462	1.0			1.0			1.0		1.0	1.0					1.0	1.0		1.0	1.0	1.0		1.0						1.0		1.0	1.0	1.0	1.0	1.0					1.0		1.0	1.0				1.0	1.0	1.0				1.0			1.0	0.0	1.0	1.0		0.030927835051546393		1.0	0.0	1.0			1.0	1.0		1.0		0.0	1.0	1.0	1.0		1.0								1.0	1.0			1.0			1.0	0.992156862745098								1.0	1.0		1.0			1.0			1.0	1.0		1.0	0.9973190348525468		1.0	1.0		1.0						1.0	1.0			1.0			1.0	1.0		0.3043478260869565
CIDECP_1		1.0							1.0					1.0												0.0						0.0			0.0															1.0														1.0				1.0																																																																			1.0							1.0						1.0						1.0					1.0	1.0					1.0	1.0	1.0	1.0					1.0										1.0								1.0				1.0						1.0	1.0
CKAP2L_1					1.0				1.0			1.0			0.0	1.0	1.0	1.0	1.0							1.0		0.0	0.0	1.0	1.0	1.0	1.0		1.0		1.0	1.0						1.0				1.0	1.0		1.0	1.0												1.0			0.06705539358600582									1.0	1.0			1.0			1.0				0.15384615384615385				0.9733333333333334	1.0	1.0	1.0	1.0				1.0	0.85	1.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	0.9883268482490272		1.0	1.0			1.0	1.0				1.0			1.0									1.0						1.0																																																														
CKAP5_5		0.0	0.0		0.0	0.0			0.0		0.0	0.0			0.0						0.0									0.0			0.0					0.0	0.0						0.0	0.0	0.0		0.0										0.0			0.0				0.0			0.0										0.0	0.0			0.0		0.0					0.0	0.0		0.0				0.0						0.0	0.0			0.0					0.0	0.0	0.0			0.0	0.0		0.0	0.0											0.0027027027027027033	0.0	0.0				0.0		0.0	1.0					0.8883248730964467								1.0		1.0		1.0									1.0		1.0					1.0					1.0													1.0	1.0	1.0					1.0		1.0	1.0
CKLF_1	1.0	1.0	1.0		0.7916666666666666	1.0	0.6811594202898551	1.0	0.9230769230769232	1.0	1.0			1.0	1.0	0.0	0.0	0.005649717514124294	1.0	0.6430205949656751	1.0		1.0	1.0	1.0	1.0				1.0	0.9865771812080536	1.0	1.0	1.0	1.0		1.0	1.0			1.0			0.9480752014324082	1.0	1.0	0.1020408163265306		1.0	0.7846153846153846					0.0		1.0		0.6291390728476821			1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0		1.0	1.0				1.0	1.0	1.0	1.0	1.0	0.7348066298342542	1.0	1.0			1.0	1.0				1.0	1.0		0.9865546218487397			1.0		1.0	1.0		1.0		1.0	1.0	1.0	1.0	1.0	1.0					1.0	1.0	1.0	1.0			1.0			1.0						1.0	1.0				1.0		1.0	0.32558139534883723				1.0		1.0				1.0						1.0	1.0	1.0	1.0									1.0	0.0		1.0				1.0							0.8709677419354839													1.0	1.0	1.0			
CKLF_2	1.0	1.0	1.0		1.0	1.0	1.0	1.0	0.7283950617283951	1.0	1.0			1.0	1.0				0.08280254777070062	1.0			1.0	1.0	1.0	0.9607843137254902		0.0196078431372549	0.04	1.0	1.0	0.8148148148148148	1.0	0.4391534391534391	0.9665271966527196		1.0	1.0			1.0			1.0		1.0			1.0	1.0						0.0	1.0	0.0	1.0			1.0	0.6842105263157895	1.0		1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6206896551724138			0.964179104477612	0.4700854700854701				1.0	1.0		1.0			1.0		1.0	1.0		1.0		1.0	1.0	1.0	1.0	1.0	1.0			1.0		1.0	0.3116883116883117	1.0	1.0			1.0			1.0				1.0		1.0	1.0				1.0	1.0	1.0	1.0				1.0		1.0				1.0						1.0	1.0	1.0										1.0			1.0				1.0			1.0				1.0													1.0	1.0	1.0			
CKLF_4	1.0	1.0	0.9787234042553192		0.06329113924050632	0.0	0.17088607594936708		0.0	1.0	1.0	1.0		0.030303030303030307	0.0	1.0	1.0	1.0	1.0	0.16064757160647572	1.0		0.0	0.0	0.0	1.0				0.1952662721893491	0.11190053285968027	1.0	0.35361216730038025	0.925925925925926	1.0		0.0	1.0			0.5	1.0		0.1567443198159333	1.0	1.0	0.96		0.6131147540983607	0.2903225806451613					1.0		1.0		1.0			0.2909336941813261	0.0	1.0		0.0	1.0	0.0	0.0	0.0	0.0		0.0	1.0		1.0	0.0		0.0		0.0	0.4513556618819777	0.5801749271137027	0.0		0.5078125	0.0	0.12030075187969926			0.0	1.0					0.981981981981982		0.8362720403022671			0.006060606060606061		0.0	0.09859154929577464		0.0		0.0	0.0	0.20833333333333331	0.0	0.0	0.0			0.0		0.0	0.945945945945946	0.7936267071320182	0.0			0.0			0.2897959183673469				0.0		0.03448275862068965	0.0				0.0136986301369863	0.7391304347826086	0.0	1.0				0.0		0.004366812227074236				0.0037735849056603774						0.0			1.0									0.0	1.0		0.0			1.0	0.0							0.07142857142857142														0.11949685534591195	0.0			
CKLF_5	1.0	1.0	1.0		1.0		1.0		0.043478260869565216	1.0	1.0	0.935483870967742				1.0	1.0	1.0	0.1165644171779141	1.0	1.0					0.978021978021978		0.0196078431372549	0.07692307692307693	1.0	1.0	0.8901098901098901	1.0	0.5267857142857143	0.975609756097561	1.0		1.0			1.0	1.0		1.0		1.0	1.0		1.0	1.0					1.0	0.0	1.0	0.0	1.0			1.0	0.0	1.0			0.4117647058823529							1.0		1.0						1.0	1.0			1.0		0.10982658959537572				0.5441176470588235					1.0		1.0												1.0									0.4632911392405064	1.0							1.0												1.0		1.0																			1.0										1.0					1.0																						1.0				
CLASP1_1					0.0	0.0			0.0																																										0.0	0.0															0.0															1.0																				1.0												0.06666666666666668																																			1.0										1.0	1.0										1.0			1.0															1.0		1.0	1.0				1.0						1.0	
CLASP1_13	0.0									0.0																																								0.0	0.0	0.0															0.0								0.0							0.0																				0.0																																																												1.0								0.0			0.0		1.0																0.0				0.0			0.0				
CLASP1_2					0.0	0.0			1.0						0.0																																1.0				0.0	0.0								0.0							0.0					0.0			1.0							1.0		1.0																		1.0												1.0																			1.0							1.0									1.0										1.0	1.0										1.0			1.0											1.0				1.0		1.0	1.0				1.0						1.0	
CLASP1_5						1.0																					1.0																						1.0											0.0																																																								0.0																								1.0	1.0																		0.0	0.0																						0.0										0.0	0.0			0.0						
CLASP1_6					0.0				0.0	0.0																																									0.0	0.0															0.0															0.0																				0.0												0.0															0.0					0.0						0.2631578947368421									1.0										0.0	0.0										1.0			1.0															0.0		0.0	0.6888888888888889				0.7053140096618358						1.0	
CLASP2_14																						0.0																												0.0														0.0																																							0.0								0.0																								1.0																			1.0					0.8095238095238095	0.8312883435582822										0.0		1.0	0.0			1.0			1.0									1.0		1.0		0.0	0.0	0.0				0.1891891891891892	0.7215189873417721		0.0	1.0
CLASP2_2												1.0					1.0					0.0				0.0				1.0		0.0			0.0															0.0	1.0	1.0							1.0					1.0																																															1.0																											1.0																0.0		0.0			0.0	0.0							1.0		1.0							1.0		1.0	0.0							1.0	0.0	1.0		1.0							0.3059360730593607	0.31626506024096385	0.7938144329896907			0.4133333333333333
CLASP2_3												0.3728813559322034					1.0					0.0				0.0				0.0		0.0			0.0															0.0									0.4208955223880597		0.0			0.0																																							0.0								0.0																											0.0		0.0														0.0		0.0											0.0										0.0	0.0	0.0							0.0	0.0	0.0		0.0							0.0	0.0	0.0			0.0
CLASP2_4												0.0										0.0				1.0				0.0136986301369863		1.0			1.0															0.0	1.0	1.0							0.0					0.0																																							0.0								0.0																			0.0																								0.0					0.8389261744966443	0.8236024844720496													1.0			1.0			1.0								1.0	1.0		1.0	0.8461538461538461			1.0			1.0	0.8904899135446686	1.0			0.7946428571428571
CLASP2_6									0.0			0.0					0.0									0.0				0.0		0.0			0.0															0.0	0.0	0.0							0.0					0.0																																							0.0								0.0																			1.0										1.0																			1.0	1.0																1.0			1.0								1.0	1.0		1.0	1.0						1.0	0.8684531059683313	1.0			1.0
CLCC1_1		1.0	1.0			0.4033149171270719		1.0							0.0	0.0	0.0	0.0					1.0	1.0						0.0	0.0		0.0					0.0		1.0		0.0	1.0	0.0	0.0	0.0								0.0											1.0		0.0								0.7606382978723404								0.7075098814229249	0.0		0.0			0.0		0.043478260869565216								0.0	0.0	0.5517241379310345		0.0	0.0	1.0	1.0				1.0	1.0	1.0			1.0		1.0	0.0	0.0			1.0					0.0								1.0	1.0						0.004878048780487805																			1.0		1.0				0.0		0.7892196299275945					0.8418367346938775																											0.0	
CLCN3_2		1.0					0.0	0.0				0.0		0.0						0.0	0.0												0.0	1.0					0.0							0.0			0.0								0.0							0.0	1.0																					0.0	1.0																		0.0										0.0				0.5280172413793104			0.0																0.0		0.0		0.0				0.0																		0.0															0.0		0.0			0.0							1.0	0.0	0.0		1.0				0.0		0.0	0.0
CLDND1_10							1.0				0.2084592145015106	1.0	0.0							1.0	1.0							1.0	1.0									1.0																								1.0		0.0															1.0									1.0							0.0	0.0												1.0																																1.0																																					1.0	1.0		1.0						1.0																
CLDND1_13	0.0	0.12154696132596685	0.09734513274336284		0.8032786885245902	0.0	0.8440366972477065	0.0	0.0	0.0		0.0	0.0	0.03157894736842105	0.02949061662198392	0.0	0.0	0.0	0.0	0.8195050946142649	0.9736842105263158	0.0	0.5456431535269709	0.5918367346938775	0.0	0.0	0.0	0.923809523809524	0.7746478873239436		0.0	0.0	0.11022044088176353		0.0		0.0	0.15053763440860216	0.3636363636363637			0.0014655593551538837		0.0	0.0	0.6973684210526315	0.36875		0.0	0.5409836065573771	0.0	0.0				0.0	0.0	0.0	0.0	0.0		1.0	0.8852459016393442	0.0	0.329923273657289		0.0	0.0	0.0	0.0			1.0		0.03426791277258567	1.0			1.0	0.0				0.0		0.013333333333333334	0.0	0.3148148148148148	0.0		0.0	0.0	0.0	0.0	0.5303265940902022	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0		1.0		0.0		0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0			0.0			0.0		0.02564102564102564			1.0	1.0		0.5655737704918032								1.0						1.0		1.0					1.0	1.0			1.0	1.0								0.0	0.6226497595102755	0.0		0.672	1.0	0.0				0.0			1.0									1.0	0.4965986394557823		1.0	0.8922155688622755
CLDND1_15		1.0					1.0				0.2084592145015106	1.0	0.0							1.0	1.0		1.0	1.0				1.0	1.0																	1.0	1.0			1.0													1.0	0.0	1.0											1.0												1.0							0.7117903930131004	0.0												1.0																																		1.0								1.0						1.0		1.0					1.0				1.0	1.0									1.0	1.0		1.0	1.0					1.0			1.0									0.9252336448598132	1.0			1.0
CLDND1_6	0.0	0.0782608695652174	0.04672897196261682		0.8769230769230769	0.0	0.8152173913043478	0.0	0.0	0.0	0.8644067796610171	0.0	0.0	0.02127659574468085	0.042328042328042326	0.0	0.0	0.0	0.0	0.7891156462585034	0.9625	0.0	0.3991769547325103	0.4009216589861751	0.0	0.0	0.0		0.0		0.0	0.0	0.2		0.0		0.0	0.15053763440860216	0.5			0.0		0.0	0.0	0.5533980582524272	0.22900763358778625		0.0	0.4067796610169492	0.0	0.0				0.0	0.0	0.0	0.0	0.0		1.0	0.7971014492753623	0.0	0.18125		0.0	0.0	0.0	0.0			1.0		0.051987767584097865	1.0			1.0	0.0				0.0		0.013333333333333334	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.37083333333333335	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0		1.0		0.0		0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0			0.0			0.0		0.0379746835443038			1.0	1.0		0.3727810650887574			1.0					1.0						1.0		1.0					1.0	1.0			1.0	1.0								0.0	0.4969396677353541	0.0		0.5543478260869565	1.0	0.0				0.0			1.0									1.0	0.3169230769230769		1.0	0.8815789473684209
CLDND1_7					1.0						0.31413612565445026	1.0	0.0															1.0	1.0				1.0																															0.0									1.0															1.0							0.0	0.0												1.0																																					1.0																		1.0	1.0			1.0											1.0								1.0																1.0
CLDND1_8	0.0	0.0782608695652174	0.04672897196261682		0.8032786885245902	0.0	0.8736059479553904	0.0	0.0	0.0		0.2075471698113208	0.0	0.02127659574468085	0.032085561497326213	0.0	0.0	0.0	0.0	0.845	0.9710144927536232	0.0	0.3991769547325103	0.4009216589861751	0.0	0.0	0.0		0.0		0.0	0.0	0.11022044088176353		0.0		0.0	0.24761904761904766	0.3636363636363637			0.0		0.0	0.0	0.5533980582524272	0.22900763358778625		0.0	0.4067796610169492	0.0	0.0				0.0	0.0	0.0	0.0	0.0		1.0	0.7971014492753623	0.0	0.18125		0.0	0.0	0.0	0.0			1.0		0.03426791277258567	1.0			1.0	0.0				0.0		0.013333333333333334	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.37083333333333335	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0		1.0		0.0		0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0			0.0			0.0		0.02564102564102564			1.0	1.0		0.3727810650887574								1.0						1.0		1.0					1.0	1.0			1.0	1.0								0.0	0.5499348109517601	0.6038863976083707		0.6038647342995169	1.0	0.0				0.5652173913043478			1.0									1.0	0.3169230769230769		1.0	0.8421052631578947
CLHC1_12		1.0	1.0																																																														1.0											1.0				1.0																							1.0																			1.0			1.0																1.0		1.0																										1.0					1.0			0.0017953321364452427			0.0																			0.9230769230769232		1.0	
CLHC1_2		1.0	1.0																																																																													1.0																																									1.0	1.0			1.0							1.0																																					0.0					0.0																											1.0	1.0
CLHC1_3		1.0	1.0																																																														1.0											1.0				1.0																							1.0																		1.0	1.0			1.0							1.0									1.0		0.3955223880597015																										1.0					1.0																									1.0		1.0	0.0
CLIP1_1																	0.0				0.0													0.0	0.0				0.0																												1.0										1.0										0.29411764705882354										0.0			1.0										1.0				0.0		0.0		1.0				0.0		1.0	1.0		1.0	1.0											0.0			0.0																				1.0	1.0								1.0				1.0			1.0					1.0			1.0																1.0
CLK1_2		1.0	1.0		1.0		0.9821029082774048	1.0	1.0		1.0			1.0	1.0	0.0		0.0	0.875	0.9705882352941176	1.0				1.0	0.1921397379912664				1.0		0.1990632318501171	1.0	1.0	0.21136254212806926		1.0	1.0	1.0		1.0	0.0	1.0		1.0		1.0				1.0	1.0			1.0		1.0				1.0			1.0						0.5337597725657427	1.0		1.0		1.0	1.0	1.0		1.0	1.0			1.0	1.0									1.0			1.0		1.0	1.0	0.0	1.0		1.0			1.0				1.0	1.0				1.0					1.0	0.9393939393939394	1.0	1.0	1.0	0.0			0.8492935635792779	1.0	1.0	1.0		1.0	1.0			1.0			1.0	1.0		1.0		1.0							1.0							1.0	1.0		1.0									1.0				1.0	1.0			1.0			1.0	1.0	1.0	1.0			1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0		1.0	1.0
CLK1_3		0.0	0.007194244604316547		1.0		0.7872340425531915		1.0						0.04424778761061947	0.0		0.0	0.0	0.756214915797915					1.0	0.0				0.0		0.0		0.34959349593495936	0.0		1.0	0.0			0.0	0.0						0.0			0.0002130833155763904	0.0			1.0		1.0							0.0						0.5265700483091788	0.0		0.0			1.0	0.6778523489932886			0.0			0.005714285714285714										0.0			0.0			1.0		1.0					1.0				1.0	0.4681647940074906				0.024590163934426233					0.009980039920159679	0.14285714285714285	0.0067294751009421274			0.9043977055449329			0.6310679611650486		1.0	0.027522935779816515		1.0	0.0			1.0			1.0	0.0																					1.0							1.0		0.0			1.0	1.0	0.7027027027027027	1.0		0.0			0.0	0.0					1.0		1.0	1.0	0.00851063829787234	0.015254237288135594		1.0				1.0		0.0	0.4471544715447153
