	amp_0.5	amp_0.55	amp_0.6	amp_0.65	amp_0.7	amp_0.75	amp_0.8	amp_0.85	amp_0.9	amp_0.95
0	0.32178155216137777	0.3214694981943593	0.3208976661727273	0.3205623508666695	0.3203850078243925	0.3202885000268319	0.3203325040589699	0.3200076392594197	0.3205020859939639	0.32060961902587765
1	0.3222656090086462	0.3219811478082436	0.3214344037948301	0.3215085346784639	0.3211890412424895	0.3211232084298605	0.3212584974219514	0.3212395829085241	0.32156031819210035	0.3220304237633838
2	0.32322736728246615	0.32235611883241116	0.3224945767956234	0.3222609185515551	0.32209941023057836	0.3219776329233134	0.32260970428551106	0.3227364562806958	0.32288930457119885	0.3230387151465583
3	0.3236963582362622	0.323330354746792	0.32318260415748035	0.3233418153819713	0.3231683686733487	0.32315071108662585	0.3235385379919441	0.3236751317772321	0.3240877779453653	0.32489043287692027
4	0.3243925602003059	0.32427760028731534	0.3237742621935779	0.32402936411261085	0.3240979911148489	0.32440132639132924	0.3246510524307633	0.3253961154328949	0.32546797389629695	0.3262856398706998
5	0.3252032481683807	0.3249948998679776	0.3252018063786641	0.32504417815344677	0.3253541426512424	0.32543148830288043	0.32607004220710284	0.3263346710175543	0.3267688568816794	0.3275819202996157
6	0.3258085118374929	0.32601047295179525	0.32575193767650384	0.32645209931183533	0.326559633236684	0.3266982507389934	0.3272172585176144	0.32771246924257214	0.3281519787980734	0.32878351961357644
7	0.3271269591900889	0.3270458431608178	0.32704662910861043	0.32733551933822747	0.3277462950374661	0.3281408934426951	0.328759693414854	0.3289128620811566	0.32952525042117675	0.3305366272091579
8	0.3281941485131235	0.32814421059502163	0.32825622004315314	0.3283069745631586	0.3290027765677841	0.329224519981663	0.3299562090069885	0.3303593687182371	0.3312197412506416	0.33184732043368714
9	0.3291983376816589	0.32919530769245914	0.3292994826125056	0.3297616341176287	0.3301581864053282	0.3306132823316739	0.3311366833000903	0.33160846927505516	0.3324035112644294	0.3335863412831922
10	0.3302920335342074	0.33037253248817167	0.3305068433266388	0.33099596947113136	0.3314250876797914	0.33212966884408224	0.3325884206729153	0.33316677968704606	0.33394595548467454	0.3346730113682906
11	0.3314202464256924	0.33164421398307614	0.3317009870923132	0.3323657640293094	0.333057804606171	0.33345172939978707	0.3339324842684555	0.3349473160931039	0.33569879032683636	0.3364815332785879
12	0.3327111008520196	0.33289984960903013	0.3332104190290668	0.33384875486636695	0.33421978084402243	0.3348159597331327	0.3354085466336502	0.3362754361816533	0.33718349045434776	0.337814088822262
13	0.33403329247910934	0.3341932757352069	0.3347905498613296	0.3350223551631878	0.3356571022070804	0.3360862129415256	0.3368965807108513	0.3379582581914782	0.3387476102455959	0.3394724097824693
14	0.335523404016246	0.33559687748198846	0.33607870949306357	0.33649302898428346	0.3370509886886273	0.3379410249170532	0.3386620985861499	0.3393193140381688	0.34015084163429493	0.3410600800835321
15	0.3370764483003236	0.33714903945346186	0.3376224223401233	0.3378913234841034	0.3388435390041391	0.3395809807575236	0.34001166661542936	0.3407529387524894	0.34179246180029105	0.34276426276438676
