	psi_0.05	psi_0.06	psi_0.07	psi_0.08	psi_0.09	psi_0.1	psi_0.11	psi_0.12	psi_0.13	psi_0.14	psi_0.15	psi_0.16	psi_0.17	psi_0.18	psi_0.19	psi_0.2	psi_0.21	psi_0.22	psi_0.23	psi_0.24	psi_0.25	psi_0.26	psi_0.27	psi_0.28	psi_0.29	psi_0.3	psi_0.31	psi_0.32	psi_0.33	psi_0.34	psi_0.35	psi_0.36	psi_0.37	psi_0.38	psi_0.39	psi_0.4	psi_0.41	psi_0.42	psi_0.43	psi_0.44	psi_0.45	psi_0.46	psi_0.47	psi_0.48	psi_0.49	psi_0.5
12	0.9700253636510948	0.9678145712933482	0.9584695894904329	0.954138339685365	0.9487362550366427	0.9488524734171075	0.9344376403514698	0.9360676984476544	0.9390069287884948	0.9297222684550625	0.9271789750725845	0.9256860395745983	0.9236440306938328	0.9206109377745255	0.9169310760924256	0.9064960852422349	0.906842040675956	0.9059840427960686	0.9148075489290819	0.9060339774796323	0.9047969567592582	0.8963914845761224	0.8989085065169669	0.9041229836882707	0.9087199911799624	0.896716510670401	0.8953471360465687	0.8847474305925848	0.8879043244626659	0.8925135973220512	0.8856842174768633	0.8780624230099306	0.8837770842855076	0.8743536946916782	0.8784217364629595	0.869310455670399	0.872339646328005	0.873413113819711	0.8806425432769251	0.8824350236586951	0.8906589428289703	0.8791702500763243	0.8819193384663427	0.8794350720262706	0.8723912820663429	0.8820680173948717
13	0.9697609970572845	0.9627651183980891	0.9603278765479258	0.9546204220059343	0.9499870582674309	0.9407034082437713	0.9393395922828995	0.931862540166164	0.929346292355595	0.9327546437247928	0.9239860721447745	0.9116260266109089	0.9170076086986773	0.9086618881446548	0.905622745576224	0.912017754956294	0.9012752606980758	0.8988745063505169	0.8806792073524186	0.8755013677398901	0.8840501818094897	0.8975894330997931	0.8932068851964162	0.8846295292107804	0.8817815687789871	0.8835896138458176	0.8911507016060993	0.8881106709837613	0.8810803615834619	0.8719357543799364	0.8723441364482101	0.8690513995169528	0.8668757005511286	0.8796985560715814	0.8743410612065479	0.8718634175315216	0.8768142044226676	0.8601326013512083	0.8736236811458634	0.8621062655722447	0.8613663481964751	0.8695941730680203	0.8763714670167886	0.8687040461137201	0.8698840263904353	0.8753435822644923
14	0.9669561481875181	0.9610035997425005	0.9591549543723745	0.946474059856593	0.938767118795695	0.942184994739409	0.9332895088318419	0.9279307663810272	0.9244667639626428	0.9235639311484369	0.9161188602072622	0.9066847199408161	0.9054896347085638	0.89950444927887	0.9048012898210902	0.9112552018856419	0.8944907586022466	0.8852391204686654	0.8817447862124668	0.8903773065413371	0.8763982213346055	0.8790842822849944	0.8790224766553989	0.8836973521611174	0.881173029439596	0.870443382364404	0.8679803203914449	0.8692615605168399	0.862137708632829	0.8622749447663022	0.859141060139544	0.8614000763548871	0.87296014953363	0.8683580919748928	0.8567618410242324	0.8586428327243971	0.8700860316035848	0.8667630961736811	0.8755226828188719	0.8656702397453543	0.8556244024752482	0.8515804357679716	0.8605104330230208	0.8570289511582174	0.8543098933742519	0.8776728280302212
15	0.9672477417546098	0.9575833578361554	0.9522212947044566	0.9452026249043564	0.9450384334097452	0.9326830935873243	0.9294815464173712	0.9304577597941177	0.9148671883852196	0.9143449877421475	0.913271701890139	0.9057217537476657	0.9012911166069533	0.9023183400416909	0.8986194612271753	0.8974774781928998	0.8879603353910536	0.8870589189369942	0.8887648041264465	0.8760374079336364	0.872258091199202	0.875342636555238	0.8603273710372535	0.8740886825942339	0.8617413624096383	0.870910559409984	0.8659381487805226	0.8626226233068788	0.8688154297849935	0.8704709092288997	0.8642592187866103	0.867639062829245	0.8611347610051172	0.8556683886461353	0.8489267318052981	0.8621561174830598	0.8457781439096423	0.8454688987596289	0.850976209598419	0.8327469134361362	0.8509454659421577	0.8429407275849191	0.8467325168581755	0.8563337557578933	0.8665827110153757	0.866463150704307
16	0.9680118717131504	0.9583486241432965	0.9463330394234454	0.9398362339734269	0.9341047272577697	0.9291059131700944	0.926055008657478	0.9177829884282096	0.9170617918748113	0.9093886287132509	0.9124843916238743	0.8990299325810834	0.8990400019336242	0.8938274124237228	0.8896114141110294	0.88860992157499	0.8690386338315819	0.8849770141440435	0.8714764247242262	0.8812748147812626	0.8757637277841135	0.8566794467225168	0.8609357715465231	0.8675081673271365	0.8614461386177884	0.8660792561501961	0.8654844555875024	0.8476111281158414	0.8631911694012223	0.8525040546258168	0.8585198859755834	0.8516808429081059	0.8551549500094596	0.8541652803805174	0.8444136216257908	0.831325815252836	0.8471778025752943	0.8494318156679819	0.8537443231611122	0.8367767002492937	0.8362037177864237	0.835487282882582	0.8495013525465827	0.8684867833886145	0.8361722540585304	0.8478565001374685
17	0.9576978697530321	0.9511023544738997	0.9419965134859942	0.9343481087201968	0.9363052422960563	0.928276021284306	0.9242936317735934	0.9126231449814507	0.9080502858457636	0.9053097504553241	0.9025191846132085	0.8863007998341014	0.8952998639809774	0.8830619391611718	0.886044632351946	0.8865422975536704	0.8865651174276897	0.8759184055607134	0.8699856355679566	0.8479155676036918	0.8491261124497942	0.8666661961100337	0.8649536101459034	0.8625833684841209	0.8551468739212611	0.8550185853754555	0.834875225402075	0.8475616864581653	0.8519927902587286	0.8276945455231579	0.8290577105084813	0.8355630953792594	0.8355347370082344	0.8324141184580285	0.8287188786058687	0.8298102821504126	0.8316670935980934	0.8442083514684074	0.8386094169253799	0.8431886297670133	0.8428679665957592	0.8284972136216223	0.8332910849315164	0.8355675402194395	0.8324778173590868	0.836596582490238
18	0.960669334365425	0.9507005288913948	0.9444743796898163	0.9366034923996012	0.9282990651589783	0.9323377156080674	0.9038517344274969	0.9088073567218282	0.9003112594773924	0.8991719605989336	0.8943108483684133	0.8897930899024078	0.8824683043009963	0.8737086743244841	0.8647939711660553	0.8727114445323568	0.8672988052074275	0.8637888782144221	0.8517337993693586	0.8606258178041736	0.8563073025734923	0.8650504612931382	0.8445333061150083	0.82495424069073	0.8322698884671033	0.8358009558976154	0.8339313117867045	0.8356554340208063	0.8305993208356618	0.8371182420876567	0.8285273214002357	0.835274193375254	0.836594861390472	0.8404876547947552	0.8152806307171153	0.8174366748177863	0.8023872564138834	0.830740947285857	0.8250448609334486	0.8014012053244547	0.8382583862653397	0.8331375012049835	0.8166636492000618	0.8119416336959498	0.8255814251180298	0.8237151462890395
19	0.9550761639112771	0.9431199145875234	0.9429512215859289	0.938396660718962	0.9273841473850705	0.9138850298453888	0.90969925994514	0.9012435055859183	0.9047995915855885	0.88725927426483	0.8946216430043386	0.8906839949638568	0.8810233227538715	0.880658662520387	0.8616693399408247	0.8754512496298905	0.8644675241194203	0.8549043506293108	0.8461484729781416	0.8515328585034218	0.8547572897651203	0.8452553712397551	0.8361000938183123	0.8394126134869058	0.8364146621810218	0.8292455937963085	0.8310813588551307	0.8206550871068427	0.8130552567412738	0.8100956867717066	0.825954696180955	0.8188025700566074	0.7977398966153504	0.8188626802924595	0.8181216646551132	0.8119422261362312	0.8425062527163178	0.8095963505940423	0.8101651120844031	0.8193653212790566	0.8117280096589353	0.8153200282910947	0.8153796954023912	0.8235232175539103	0.8124246437051041	0.8140421140159192
20	0.9521897886676708	0.9432086893501929	0.9320066237514857	0.9291608600326109	0.9132608431721532	0.9090164705100742	0.8963618947172161	0.8981707278038745	0.8972712644365626	0.8850696005365927	0.8844647941107237	0.8923042232428918	0.8749503964921184	0.8590767494659944	0.8677844023396627	0.8463188715395645	0.8531012799536728	0.8491359950969967	0.8439579452624245	0.8353817986423975	0.8389767655185119	0.8391613924903534	0.8297269792871487	0.8027067223785932	0.8244949921963429	0.8275270985022094	0.8144915731126781	0.818424452969008	0.8146928014024563	0.8100190051432705	0.8145479838976725	0.8067044051851616	0.8031883365448174	0.8187659210555086	0.7968639903335033	0.8144727378422226	0.8153462070594862	0.8087182545916073	0.793063463663404	0.8119258109840939	0.7918129704588462	0.8209369572207923	0.8073600683473672	0.8177773394974417	0.8082380634491989	0.8069068991784198
21	0.948912728257798	0.9427017072455831	0.9285537965589448	0.9209534439446538	0.9175878721844647	0.9049734152581671	0.8975275247033632	0.901962324605709	0.8962176773758479	0.8825227105854958	0.8775243778350041	0.8724556196424483	0.8676861966447098	0.8647355479161178	0.8589932404859426	0.8506332358778336	0.8515416196351968	0.8371266371773299	0.8249206678595096	0.8213061618082504	0.8232560339870204	0.8294633375079244	0.8093017923622764	0.8198935834223765	0.8133445200802687	0.8002758297328962	0.7895643557866694	0.8233384973703411	0.8287521028652229	0.8005738752849004	0.811046760951135	0.8093438664047617	0.8027299611717673	0.8030362642607574	0.801421028288178	0.7800693198439417	0.7829588792778733	0.7886207507354355	0.7793361100600312	0.7974828140678184	0.798366428907906	0.7983890960233431	0.7895847777968609	0.7798064065623129	0.814798458449426	0.7951902768422996
